"Top-level","Aggregate","Mid-level","Low-level","Disaggregate","Attribute","Unit","Value"
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh fruits","Year-over-year January 2024 to January 2025","Percent change",1.4
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh fruits","Year-to-date avg. 2025 to avg. 2024","Percent change",2.3
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh fruits","Annual 2022","Percent change",7.9
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh fruits","Annual 2023","Percent change",0.7
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh fruits","Annual 2024","Percent change",0.4
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh fruits","20-year historical average","Percent change",1.9
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh fruits","Lower bound of prediction interval 2025","Percent change",-2.9
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh fruits","Mid point of prediction interval 2025","Percent change",2.4
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh fruits","Upper bound of prediction interval 2025","Percent change",8.1
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh vegetables","Relative importance","Percent",4.1
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh vegetables","Month-to-month December 2024 to January 2025","Percent change",-0.8
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh vegetables","Year-over-year January 2024 to January 2025","Percent change",-0.6
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh vegetables","Year-to-date avg. 2025 to avg. 2024","Percent change",0.2
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh vegetables","Annual 2022","Percent change",7
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh vegetables","Annual 2023","Percent change",0.9
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh vegetables","Annual 2024","Percent change",1
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh vegetables","20-year historical average","Percent change",1.9
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh vegetables","Lower bound of prediction interval 2025","Percent change",-2.4
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh vegetables","Mid point of prediction interval 2025","Percent change",1.1
"All food","Food at home","Fruits and vegetables","Fresh fruits and vegetables","Fresh vegetables","Upper bound of prediction interval 2025","Percent change",4.7
"All food","Food at home","Fruits and vegetables","Processed fruits and vegetables","","Relative importance","Percent",1.6
"All food","Food at home","Fruits and vegetables","Processed fruits and vegetables","","Month-to-month December 2024 to January 2025","Percent change",1.1
